,Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Speed of maximum wind gust (km/h),9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind speed (km/h),3pm MSL pressure (hPa),avg_demand
134,17/07/2021,7.6,13.7,0.2,2.8,0.8,33.0,8.7,67.0,7.0,13,992.8,13.2,66,7.0,11,996.7,5228.422083333333
135,18/07/2021,8.5,14.2,4.2,1.0,3.0,28.0,10.4,83.0,3.0,9,1014.5,13.0,65,7.0,7,1015.1,5032.753541666665
136,19/07/2021,9.1,13.0,0.0,1.8,2.9,31.0,10.4,72.0,7.0,13,1016.2,12.2,72,7.0,11,1012.5,5740.955833333333
137,21/07/2021,6.5,13.6,10.8,1.6,2.8,31.0,8.9,80.0,7.0,6,1020.5,12.0,69,6.0,7,1019.0,5915.441250000001
138,22/07/2021,5.1,11.8,0.6,2.6,0.1,46.0,7.8,88.0,7.0,17,1015.8,10.5,66,7.0,22,1010.7,6061.376041666666
139,25/07/2021,5.8,13.0,0.8,3.6,7.2,48.0,8.1,60.0,1.0,19,1003.6,12.5,47,7.0,13,1004.8,5217.106250000001
140,26/07/2021,8.1,16.4,0.0,1.0,2.9,43.0,12.4,75.0,7.0,13,1010.9,15.8,62,7.0,20,1009.7,5480.1812500000015
141,27/07/2021,10.1,17.1,0.0,3.4,4.3,67.0,11.1,67.0,2.0,19,1011.1,16.4,48,7.0,26,1003.7,5202.524375
142,28/07/2021,11.1,16.8,0.0,5.4,4.7,50.0,14.3,70.0,6.0,13,998.2,12.0,65,7.0,11,998.4,5329.234791666666
143,29/07/2021,6.7,15.4,0.8,3.4,7.8,41.0,8.7,67.0,6.0,19,1013.5,14.9,52,1.0,17,1013.5,5535.422916666666
144,30/07/2021,8.0,14.9,0.0,2.6,6.4,61.0,9.9,59.0,1.0,19,1015.1,13.6,49,7.0,26,1011.0,5374.45375
145,1/08/2021,8.0,15.7,18.0,6.8,9.0,30.0,11.1,72.0,1.0,9,1010.6,14.6,42,3.0,9,1011.5,4639.705833333333
