,Date,Minimum temperature (C),Evaporation (mm),9am relative humidity (%),9am cloud amount (oktas),3pm relative humidity (%),3pm wind speed (km/h),avg_demand
279,18/01/2022,22.6,8.0,87,8.0,89,22,8182.945624999999
280,19/01/2022,18.6,2.8,96,8.0,81,28,7500.322951388888
281,22/01/2022,17.4,5.4,88,5.0,57,24,6711.975312500001
282,24/01/2022,18.7,5.0,91,7.0,65,20,7518.355381944441
283,25/01/2022,20.6,6.4,76,7.0,64,24,7780.217916666667
284,27/01/2022,19.8,11.4,73,7.0,61,30,7754.988229166668
285,28/01/2022,21.7,11.4,76,3.0,62,28,8344.649375
286,29/01/2022,21.5,8.0,80,5.0,66,26,7971.286840277778
287,30/01/2022,22.0,10.2,83,6.0,69,20,7803.386944444439
288,31/01/2022,21.2,8.2,82,6.0,65,17,8793.732951388889
289,1/02/2022,21.8,8.2,87,1.0,67,15,9362.197743055553
290,2/02/2022,20.3,6.493333333333333,98,8.0,85,24,8093.289583333338
291,3/02/2022,18.1,10.4,72,4.0,61,35,7197.270833333329
292,4/02/2022,15.6,8.8,86,5.0,93,6,6942.934687499994
293,5/02/2022,17.2,8.6,77,7.0,50,30,6438.603055555557
294,6/02/2022,18.6,9.0,57,5.0,65,9,6328.283784722217
295,7/02/2022,17.1,8.0,85,6.0,86,15,7022.777326388893
296,8/02/2022,16.0,3.8,96,8.0,65,22,7076.880069444446
297,9/02/2022,16.6,6.6,87,1.0,54,19,7557.486215277779
298,10/02/2022,18.7,8.8,74,0.0,54,15,8075.205659722227
299,11/02/2022,20.3,8.6,83,6.0,77,22,7536.579965277774
300,13/02/2022,17.9,4.2,96,5.0,53,19,6542.956979166668
301,14/02/2022,16.8,9.0,82,7.0,57,24,7372.50034722222
302,15/02/2022,19.1,7.2,86,2.0,60,28,7825.009027777783
303,16/02/2022,19.0,9.4,86,2.0,56,28,7750.616527777781
304,17/02/2022,18.9,9.6,86,5.0,65,15,8114.118958333334
305,18/02/2022,20.5,8.0,90,4.0,68,20,8020.700902777778
306,19/02/2022,20.9,9.0,67,7.0,75,13,6977.746041666662
307,21/02/2022,20.9,6.6,55,7.0,62,24,8043.16736111111
308,23/02/2022,20.0,5.856,99,7.0,90,2,7979.459479166662
309,24/02/2022,21.0,3.8,99,8.0,76,17,8307.194305555558
310,25/02/2022,20.8,2.6,99,7.0,91,7,8082.805520833333
311,26/02/2022,19.6,1.4,99,8.0,99,28,7329.16263888889
312,27/02/2022,19.4,3.2,98,7.0,77,13,7147.980347222217
313,28/02/2022,20.4,1.6,99,7.0,79,7,7823.420972222215
314,1/03/2022,19.4,2.4,99,7.0,95,35,7689.380937499996
315,2/03/2022,20.0,4.0,85,7.0,96,26,7709.840173611108
316,3/03/2022,19.7,2.4,98,7.0,87,30,7696.557708333337
317,4/03/2022,21.4,2.6,98,6.0,82,22,7846.17451388889
318,5/03/2022,20.7,3.3,100,7.0,81,19,7523.5713888888895
319,6/03/2022,20.2,5.6,100,8.0,94,30,7218.48496527778
320,7/03/2022,21.1,7.2,97,8.0,88,19,8066.091458333334
321,8/03/2022,21.3,4.771428571428571,100,8.0,100,28,7882.270763888886
322,10/03/2022,15.7,6.8,64,2.0,52,20,7062.305069444443
323,12/03/2022,16.8,6.0,92,7.0,57,24,6589.120451388892
324,14/03/2022,16.7,2.8,99,2.0,93,4,7142.214062499999
325,15/03/2022,16.3,3.4,97,3.0,57,24,7153.628958333336
326,16/03/2022,18.1,7.0,99,7.0,75,17,7467.097812499998
327,17/03/2022,18.3,2.0,100,1.0,72,19,7648.045243055556
